RA,Dec,pop,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r,U,F378,F395,F410,F430,G,F515,R,F660,I,F861,Z,err_U,err_Z,err_F378,err_F395,err_F410,err_F430,err_F515,err_F660,err_F861,err_G,err_I,err_R
154.483554,-46.365614,1.0,8.408145,0.017966,-1.85383,0.019122,14.654307,15.29563,13.844221,0.16918,0.018618,260.871388,15.196175,15.170275,15.324761,15.35133,15.265179,14.598727,14.291561,13.601068,13.337559,13.033842,12.725359,12.633288,0.021,0.029,0.015,0.028,0.039,0.046,0.03,0.016,0.029,0.014,0.065,0.03
154.483374,-46.364921,0.0,8.095772,0.032464,-2.172262,0.035577,15.845025,16.402622,15.038213,0.326583,0.03426,262.15426,16.163175,16.179275,16.179761,16.26233,16.204179,15.670727,15.371561,14.745068,14.508559,14.177842,13.958359,13.835288,0.026,0.03,0.034,0.03,0.035,0.041,0.038,0.017,0.031,0.019,0.058,0.038
154.430036,-46.389265,1.0,8.331339,0.041167,-1.923018,0.044702,16.298529,16.780361,15.511195,0.146557,0.043149,106.524121,16.413375,16.367152,16.530953,16.705731,16.516993,16.021837,15.760121,15.111772,14.951288,14.603376,14.348313,14.251067,0.037,0.044,0.047,0.048,0.049,0.042,0.045,0.027,0.039,0.032,0.055,0.038
154.439232,-46.382318,1.0,8.448497,0.039333,-1.985484,0.043174,16.279306,16.713917,15.44704,0.156421,0.042883,140.326116,16.470076,16.449666,16.57833,16.680964,16.600017,16.115319,15.792316,15.243333,15.002689,14.730276,14.470844,14.329342,0.029,0.022,0.034,0.049,0.052,0.048,0.032,0.015,0.029,0.016,0.066,0.034
154.440984,-46.381111,1.0,8.311225,0.046519,-2.102044,0.04785,16.637478,17.053629,15.836037,0.262842,0.049733,146.443834,16.705076,16.752666,16.84833,17.004964,16.925017,16.434319,16.114316,15.453333,15.304689,14.996276,14.740844,14.722342,0.046,0.035,0.061,0.044,0.053,0.065,0.053,0.027,0.044,0.018,0.065,0.045
154.441942,-46.392871,1.0,7.951421,0.054613,-2.296375,0.056824,16.90268,17.237556,16.028797,0.053534,0.060889,118.853453,16.89684,16.87232,17.138904,17.348453,17.136383,16.693367,16.367196,15.777839,15.591102,15.342394,14.985744,14.903091,0.075,0.058,0.119,0.11,0.053,0.073,0.036,0.026,0.036,0.045,0.076,0.046
154.444383,-46.390712,0.0,8.076873,0.088064,-2.153047,0.085121,16.07907,16.407473,15.083994,0.025535,0.087978,128.372859,16.02484,16.02732,16.036904,16.252453,16.166383,15.671367,15.359196,14.724839,14.513102,14.198394,13.942744,13.853091,0.058,0.083,0.064,0.066,0.053,0.051,0.058,0.059,0.053,0.07,0.075,0.058
154.440977,-46.390945,0.0,8.217605,0.015141,-1.921721,0.015811,14.138094,14.781856,13.349432,0.184884,0.016296,121.24501,14.81284,14.79932,14.817904,14.870453,14.757383,14.128367,13.844196,13.114839,12.843102,12.542394,12.249744,12.098091,0.018,0.026,0.019,0.026,0.038,0.044,0.03,0.014,0.025,0.013,0.049,0.03
154.430924,-46.381796,1.0,8.383231,0.029461,-2.187286,0.031078,15.516759,15.977376,14.637066,0.243723,0.031275,129.845487,15.752525,15.796583,15.97041,16.057093,15.850324,15.425319,15.123445,14.478897,14.2601,13.964932,13.676507,13.556545,0.044,0.039,0.054,0.039,0.041,0.063,0.049,0.027,0.047,0.025,0.067,0.049
154.442722,-46.386575,1.0,8.445668,0.029361,-2.05662,0.030865,15.665176,16.194597,14.896257,0.196572,0.031534,134.958822,15.934076,15.894666,15.98433,16.093964,15.981017,15.471319,15.181316,14.576333,14.340689,14.004276,13.786844,13.682342,0.03,0.037,0.037,0.042,0.04,0.045,0.042,0.02,0.035,0.027,0.054,0.037
154.445666,-46.386755,0.0,8.257349,0.03302,-1.608514,0.032945,16.009424,16.558949,15.256438,0.138048,0.034426,139.903097,16.273076,16.198666,16.29333,16.477964,16.279017,15.854319,15.549316,14.945333,14.716689,14.409276,14.139844,14.057342,0.042,0.023,0.032,0.041,0.043,0.043,0.03,0.018,0.029,0.019,0.061,0.032
154.442861,-46.384997,1.0,8.368156,0.030599,-2.132169,0.029881,15.203678,15.762386,14.438936,0.153786,0.032216,139.189657,15.471076,15.446666,15.56433,15.723964,15.645017,15.066319,14.807316,14.131333,13.900689,13.649276,13.331844,13.231342,0.018,0.035,0.021,0.031,0.039,0.042,0.033,0.015,0.03,0.014,0.052,0.029
154.456315,-46.377036,1.0,8.607214,0.039042,-2.129411,0.040259,16.293327,16.873903,15.541048,0.171239,0.041086,183.098129,16.537076,16.581666,16.64033,16.750964,16.709017,16.190319,15.875316,15.248333,15.020689,14.735276,14.459844,14.330342,0.035,0.017,0.034,0.058,0.051,0.044,0.041,0.015,0.026,0.014,0.054,0.036
154.449776,-46.373562,0.0,8.23777,0.030109,-1.86393,0.031338,15.777572,16.347,15.04086,0.230548,0.031677,181.303809,16.018076,16.040666,16.07533,16.224964,16.091017,15.654319,15.366316,14.748333,14.505689,14.240276,13.968844,13.836342,0.021,0.035,0.024,0.043,0.039,0.042,0.035,0.019,0.029,0.015,0.053,0.031
154.436199,-46.3729,0.0,8.012821,0.059494,-1.42518,0.061933,16.507284,16.961498,15.709142,0.153814,0.064182,164.074858,16.737261,16.810903,16.825075,16.934816,16.9199,16.425381,16.061702,15.444457,15.276206,14.969926,14.655851,14.564124,0.035,0.028,0.04,0.045,0.04,0.047,0.031,0.018,0.024,0.027,0.053,0.029
154.420499,-46.367123,0.0,8.197058,0.036412,-1.974949,0.038214,16.102673,16.53841,15.314727,0.085133,0.039133,168.678282,16.395284,16.448688,16.462962,16.624748,16.498453,16.030361,15.68579,15.120357,14.840053,14.60647,14.328954,14.193535,0.03,0.024,0.034,0.037,0.037,0.037,0.034,0.029,0.03,0.018,0.053,0.032
154.43089,-46.377937,1.0,8.272758,0.103693,-1.52073,0.106171,16.39698,16.665554,15.450617,0.069379,0.110822,141.809052,16.088525,16.129583,16.10541,16.427093,16.409324,15.922319,15.642445,15.037897,14.8521,14.507932,14.296507,14.163545,0.078,0.114,0.085,0.111,0.082,0.069,0.082,0.079,0.074,0.101,0.097,0.079
154.426782,-46.384323,1.0,8.464666,0.034372,-1.484295,0.034566,15.995497,16.564062,15.271227,0.154859,0.036314,116.766088,16.313525,16.374583,16.51841,16.460093,16.462324,15.942319,15.605445,15.036897,14.7941,14.510932,14.259507,14.113545,0.039,0.026,0.035,0.031,0.046,0.053,0.033,0.018,0.035,0.018,0.054,0.034
154.417553,-46.378356,0.0,8.537524,0.026913,-2.008021,0.027731,15.453239,16.029621,14.716809,0.147806,0.026837,127.735278,15.746997,15.786311,15.765774,15.915196,15.789941,15.339446,15.037021,14.431103,14.188225,13.929075,13.641098,13.515218,0.025,0.027,0.031,0.028,0.041,0.044,0.032,0.017,0.028,0.015,0.057,0.028
154.421439,-46.379048,0.0,8.250718,0.035523,-2.213425,0.037811,16.178596,16.74033,15.455144,0.204829,0.037395,128.377507,16.380997,16.439311,16.457774,16.615196,16.523941,16.041446,15.720021,15.137103,14.930225,14.688075,14.346098,14.235218,0.035,0.027,0.029,0.044,0.045,0.048,0.032,0.021,0.032,0.016,0.059,0.031
154.42481,-46.379181,1.0,8.73232,0.028145,-1.612253,0.028243,15.024476,15.560297,14.221163,0.135903,0.02917,131.09186,15.370525,15.335583,15.42941,15.588093,15.493324,14.913319,14.612445,13.955897,13.7341,13.404932,13.152507,13.028545,0.022,0.03,0.028,0.032,0.03,0.031,0.029,0.019,0.033,0.017,0.047,0.03
154.425297,-46.372456,1.0,8.33086,0.044519,-1.773647,0.047347,16.621008,17.157566,15.917113,0.133931,0.046285,153.963508,16.978261,16.899903,17.073075,17.128816,17.0929,16.617381,16.270702,15.698457,15.468206,15.194926,14.889851,14.757124,0.04,0.025,0.046,0.059,0.053,0.055,0.045,0.015,0.034,0.014,0.047,0.04
154.428304,-46.377458,1.0,8.632521,0.039034,-1.687556,0.038492,15.820857,16.334618,15.046635,0.181754,0.040741,140.382046,16.031525,16.029583,16.18441,16.237093,16.176324,15.662319,15.342445,14.723897,14.5161,14.179932,13.940507,13.802545,0.027,0.04,0.03,0.029,0.037,0.045,0.032,0.018,0.034,0.023,0.047,0.033
154.419043,-46.360438,1.0,8.416986,0.037769,-2.137238,0.039261,16.34582,16.77104,15.580154,0.197867,0.040957,191.298962,16.704284,16.663688,16.727962,16.877748,16.812453,16.306361,16.00879,15.406357,15.168053,14.82847,14.589954,14.500535,0.035,0.035,0.042,0.042,0.04,0.04,0.031,0.022,0.034,0.025,0.059,0.039
154.423449,-46.365458,1.0,8.770668,0.012615,-1.970343,0.013924,13.743701,14.359759,12.952624,0.176072,0.013872,176.40877,14.605284,14.560688,14.680962,14.650748,14.573453,13.886361,13.56079,12.833357,12.559053,12.23547,11.940954,11.797535,0.019,0.014,0.023,0.03,0.027,0.038,0.03,0.01,0.02,0.015,0.056,0.027
154.43441,-46.369817,1.0,8.163733,0.052238,-1.642612,0.053578,16.92777,17.451174,16.209806,0.194193,0.053701,171.762368,17.230261,17.173903,17.282075,17.401816,17.3469,16.902381,16.549702,15.955457,15.780206,15.517926,15.195851,15.064124,0.05,0.048,0.043,0.065,0.04,0.059,0.039,0.023,0.041,0.028,0.069,0.038
154.421096,-46.365285,0.0,7.965116,0.096761,-2.403388,0.104639,16.856226,17.228,16.05115,0.340597,0.097215,175.45381,16.894284,17.073688,17.102962,17.246748,17.097453,16.586361,16.29579,15.726357,15.543053,15.16747,15.005954,14.814535,0.049,0.061,0.045,0.057,0.052,0.046,0.051,0.037,0.044,0.045,0.052,0.041
154.419817,-46.361732,1.0,8.666605,0.043566,-1.861051,0.044277,15.899481,16.326479,15.10959,0.094392,0.043949,187.148839,16.070284,16.063688,16.137962,16.350748,16.263453,15.798361,15.47779,14.873357,14.665053,14.31247,14.074954,13.989535,0.038,0.043,0.037,0.052,0.049,0.051,0.045,0.025,0.033,0.033,0.05,0.037
154.437359,-46.363174,1.0,8.275162,0.016674,-2.125063,0.01717,14.51891,15.092265,13.769253,0.208339,0.0173,196.472338,15.139261,15.099903,15.205075,15.266816,15.1949,14.588381,14.268702,13.613457,13.351206,13.050926,12.772851,12.660124,0.018,0.034,0.026,0.023,0.031,0.041,0.034,0.022,0.038,0.015,0.054,0.034
