RA,Dec,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
6.288595,-72.08002,0.0,14.754,0.023,15.536000000000001,0.012,17.169,0.042,17.269,0.23,17.08,0.029,17.022000000000002,0.088,16.156,0.013,15.294,0.012,14.867999999999999,0.031,16.416999999999998,0.01,15.060000000000002,0.02,16.899,0.034,5.12564,0.036401,-2.315925,0.043858,15.85788,16.249208,15.193438,0.153873,0.033683,293.441694
6.303217,-72.07833,1.0,13.389000000000001,0.019,14.248999999999999,0.011,15.829999999999998,0.015,15.887999999999998,0.096,15.787,0.012,15.681000000000001,0.041,14.846,0.007,13.988,0.013,13.541999999999998,0.03,15.149000000000001,0.009,13.721,0.016,15.708000000000002,0.014,5.855601,0.024917,-2.91785,0.024094,14.578519,15.029456,13.891865,0.148913,0.019636,309.813562
5.883489,-72.07393,1.0,11.697,0.017,12.665000000000001,0.013,15.004999999999999,0.028,15.026999999999997,0.064,14.761000000000001,0.021,14.454,0.026,13.434999999999999,0.012,12.369,0.014,11.881,0.028,13.773,0.015,12.082999999999998,0.017,14.828,0.028,6.143186,0.019112,-2.506903,0.029634,13.010854,13.568595,12.238495,0.128384,0.021394,157.429811
6.458031,-72.06402,0.0,14.397,0.024,15.161999999999999,0.014,16.711,0.029,16.64,0.14,16.598,0.019,16.42,0.055,15.732,0.008,14.921,0.016,14.535,0.031,16.000999999999998,0.009,14.699000000000002,0.023,16.476,0.022,5.111111,0.035741,-2.27517,0.042513,15.523073,15.893883,14.85418,0.221562,0.038127,485.220688
6.629812,-72.06247,1.0,14.716,0.027,15.491,0.013,16.837,0.035,17.061999999999998,0.161,16.847,0.02,16.753,0.068,16.049,0.013,15.245000000000001,0.015,14.844999999999999,0.028,16.345,0.011,15.011,0.021,16.618000000000002,0.023,5.09684,0.031256,-2.557834,0.033967,15.810521,16.232153,15.179123,0.066419,0.029531,675.013543
5.983856,-72.0631,1.0,13.214,0.031,14.16,0.036,16.453,0.044,16.727999999999998,0.313,16.139000000000003,0.032,16.216,0.128,14.858,0.028,13.855,0.032,13.346,0.042,15.099,0.032,13.571000000000002,0.034,15.84,0.031,5.554494,0.039146,-2.638404,0.038092,14.258111,14.583627,13.44274,0.16531,0.036307,78.937262
6.300131,-72.06149,1.0,14.836,0.023,15.591000000000001,0.016,17.07,0.04,17.249,0.22,17.055999999999997,0.031,17.122,0.091,16.184,0.016,15.338999999999999,0.015,14.951,0.027,16.457,0.01,15.112000000000002,0.02,16.821,0.032,4.932417,0.048864,-2.421562,0.052147,15.941637,16.335484,15.285997,0.255025,0.040152,314.494316
6.297666,-72.05942,0.0,13.427999999999999,0.024,14.251999999999999,0.012,16.151999999999997,0.019,16.003999999999998,0.1,15.875000000000002,0.015,15.702000000000002,0.041,14.870000000000001,0.007,13.995000000000001,0.015,13.559000000000001,0.036,15.172,0.009,13.738,0.023,15.868000000000002,0.018,5.914851,0.031898,-2.412804,0.030657,14.540705,15.005955,13.873055,0.198702,0.025426,313.668965
6.309567,-72.05702,0.0,14.478,0.027,15.209,0.019,16.779999999999998,0.034,16.715999999999998,0.15,16.647,0.025,16.477,0.061,15.812000000000001,0.018,14.975999999999999,0.02,14.565999999999999,0.03,16.073999999999998,0.016,14.75,0.021,16.634,0.03,4.834755,0.047869,-2.290211,0.045108,15.600775,15.967851,14.928077,0.419832,0.038077,328.637727
6.244121,-72.0555,0.0,13.92,0.025,14.735,0.013,16.491,0.028,16.451999999999998,0.121,16.362000000000002,0.017,16.193,0.052,15.357,0.008,14.477,0.013,14.053999999999998,0.037,15.640999999999998,0.01,14.241,0.023,16.316,0.02,6.279662,0.026179,-2.112788,0.031193,15.035033,15.461778,14.36716,0.118228,0.025065,261.380454
